医药机构ID,原定点医疗机构ID,机构名称,机构地址,机构类型,医院等级,医保基金使用等级,归属区划,定点标志,有效标志
"D45D09EB998904F2E053C0A884B57C68","4108","苏州市职业大学（干将路校区）卫生所","苏州市干将西路1122号","诊所","无等级","一级及以下","姑苏区","1","0"
"D45D09EB998A04F2E053C0A884B57C68","5242","苏州市明清堂药房有限公司","苏州高新区万枫家园68幢102、103室","药店","无等级","一级及以下","高新区","1","1"
"D45D09EB998B04F2E053C0A884B57C68","4590","苏州市姑苏区平江街道西北街社区卫生服务中心","西花桥巷26号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB998C04F2E053C0A884B57C68","4591","苏州市姑苏区沧浪街道三香社区卫生服务中心","姑苏区三香新村20幢西侧","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB998E04F2E053C0A884B57C68","4103","苏州轴承厂股份有限公司卫生站","苏州高新区鹿山路35号","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB999004F2E053C0A884B57C68","5246","苏州普济药房有限公司","高新区林枫路55号118室","药店","无等级","一级及以下","高新区","1","1"
"D45D09EB999104F2E053C0A884B57C68","5239","苏州市康诚大药房有限公司","苏州市三香路6-6号","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB999404F2E053C0A884B57C68","4539","苏州新康诊所","苏州市桐泾南路201-8号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB999504F2E053C0A884B57C68","4541","苏州市姑苏区吴门桥街道润达社区卫生服务中心","苏州市南环西路润达新村38幢","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB999604F2E053C0A884B57C68","4543","苏州李良济苏锦诊所","苏州市姑苏区广济北路388号一楼南侧","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB999804F2E053C0A884B57C68","4028","苏州圣德诊所","苏州市马医科18号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB999D04F2E053C0A884B57C68","5224","江苏海王星辰健康药房连锁有限公司苏州葑门店","苏州市草鞋湾4号楼底","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB999E04F2E053C0A884B57C68","5226","江苏海王星辰健康药房连锁有限公司苏州友联店","苏州市姑苏区南环西路799号103室部分面积","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99A504F2E053C0A884B57C68","5040","华润苏州礼安医药连锁总店有限公司第四十医药商店","苏州索山新苑商业房2幢5区G间","药店","无等级","一级及以下","高新区","1","1"
"D45D09EB99A604F2E053C0A884B57C68","5212","苏州市集成药店有限公司","苏州市西环路2840、2842、2844、2846号","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99A704F2E053C0A884B57C68","4018","苏州长兴门诊部","苏州市劳动路582号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99AE04F2E053C0A884B57C68","5253","苏州市晓开药房有限公司","苏州市西跨塘村沈巷(7)河西79号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB99AF04F2E053C0A884B57C68","4572","苏州高新区枫桥街道马浜社区卫生服务站","苏州高新区枫桥街道马浜花园北区社区服务中心楼","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB99B004F2E053C0A884B57C68","4546","苏州康乐诊所","苏州市东杨家浜6号（一厅楼上、二厅楼下）","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99B104F2E053C0A884B57C68","4220","苏州市姑苏区亚细亚诊所","苏州市阊胥路444号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99B404F2E053C0A884B57C68","5122","苏州雷允上国药连锁总店有限公司贵都药店","苏州工业园区联丰商业广场2幢1层2170室","药店","无等级","一级及以下","工业园区","1","1"
"D45D09EB99B504F2E053C0A884B57C68","4594","苏州高新区浒墅关分区浒墅人家社区卫生服务站","苏州高新区浒墅人家3区15幢","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB99B704F2E053C0A884B57C68","4595","苏州高新区浒墅关镇青灯社区卫生服务站","苏州高新区浒墅关镇九图村","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB99B804F2E053C0A884B57C68","4570","苏州高新区东渚镇龙景花园社区卫生服务站","龙景花园三区21幛","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB99B904F2E053C0A884B57C68","4579","苏州高新区狮山街道竹园社区卫生服务站","苏州高新区竹园小区物业配套楼1-2楼","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB99BA04F2E053C0A884B57C68","4578","苏州高新区枫桥街道康佳社区卫生服务站","苏州高新区康佳社区景山路207-208号","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB99BC04F2E053C0A884B57C68","4033","苏州海维视眼科诊所","苏州市干将西路456号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99BD04F2E053C0A884B57C68","4586","苏州市姑苏区双塔街道横街社区卫生服务中心","苏州市葑门路34号 ","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99C004F2E053C0A884B57C68","4114","江苏苏净集团有限公司医务室","苏州工业园区唯新路2号","诊所","无等级","一级及以下","工业园区","1","1"
"D45D09EB9A1404F2E053C0A884B57C68","5449","苏州市吴中区城区长寿堂药店有限公司","苏州市吴中区苏蠡路88号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A1604F2E053C0A884B57C68","5451","苏州市鸿飞药店有限公司","苏州市吴中区木渎镇中山西路15-1号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A1904F2E053C0A884B57C68","5454","苏州市德仙堂药铺有限公司","苏州市吴中区木渎镇金枫南路289号枫华商业广场1幢135室","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A1A04F2E053C0A884B57C68","5455","苏州市德正药店有限公司","苏州市吴中区木渎镇木胥西路9号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A1E04F2E053C0A884B57C68","5461","苏州仁义百顺药房有限公司","苏州市吴中区水香街247号101室","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A2204F2E053C0A884B57C68","5466","苏州吴中春和堂药房有限公司","苏州市吴中区南厍路116号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A2404F2E053C0A884B57C68","5469","江苏百佳惠苏禾大药房连锁有限公司郭巷益众店","苏州吴中经济开发区郭巷街道尹山湖景花园64幢104室","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A2604F2E053C0A884B57C68","5471","江苏百佳惠苏禾大药房连锁有限公司尹东店","苏州市吴中区郭巷街道尹东九村A区配套用房1号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A2704F2E053C0A884B57C68","5472","苏州市吴中区郭巷健民药店有限公司","郭巷镇通达路1655号通达邻里汇RT101-8室","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A7004F2E053C0A884B57C68","5807","苏州健生源医药连锁有限公司吴中区郭巷东街药店","苏州市吴中区郭巷镇郭新西路","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A7604F2E053C0A884B57C68","5813","苏州健生源医药连锁有限公司吴中区木渎香港街南街药店","苏州市吴中区木渎镇翠坊南街3号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A7804F2E053C0A884B57C68","5815","苏州健生源医药连锁有限公司吴中区横泾南街药店","苏州市吴中经济开发区横泾街道木东路7462号1幢","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A7C04F2E053C0A884B57C68","5820","苏州健生源医药连锁有限公司吴中区方家药店","苏州市吴中区光福镇方家弄10号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A7D04F2E053C0A884B57C68","5822","苏州健生源医药连锁有限公司胥口中市街药店","苏州市吴中区胥口镇中市街73号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A8204F2E053C0A884B57C68","5827","苏州健生源医药连锁有限公司吴中区甪直陆巷药店","苏州市吴中区甪直镇陆巷甫田村","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A8404F2E053C0A884B57C68","5829","苏州健生源医药连锁有限公司吴中区广建路药店","苏州市吴中经济开发区广建路104号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A8504F2E053C0A884B57C68","5831","苏州健生源医药连锁有限公司吴中区渡村新市街药店","苏州市吴中区临湖镇新市街310、312、316号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A8804F2E053C0A884B57C68","5834","苏州健生源医药连锁有限公司吴中区藏书药店","苏州市吴中区木渎镇藏书新疆街13号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A8A04F2E053C0A884B57C68","5836","苏州健生源医药连锁有限公司吴中区碧波街药店","苏州市吴中经济开发区碧波2村21幢101、102室","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A1304F2E053C0A884B57C68","5448","苏州市吴中区甪直恒德堂药店有限公司","苏州市吴中区甪直镇迎宾路F5-7号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB993504F2E053C0A884B57C68","4517","苏州固生堂桃花坞中医门诊部","苏州市桃花桥路9号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB993604F2E053C0A884B57C68","4520","苏州市姑苏区吴门桥街道南环社区卫生服务中心","苏州市姑苏区南环新村锦南巷66号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB993804F2E053C0A884B57C68","5203","苏州市中诚大药房有限公司","苏州市阊胥路248号","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB993904F2E053C0A884B57C68","4105","苏州创元投资离退休干部服务中心卫生所","苏州市旧学前69号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB993A04F2E053C0A884B57C68","5106","苏州雷允上国药连锁总店有限公司潘资一药店","苏州市白塔西路37号","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB993B04F2E053C0A884B57C68","5107","苏州雷允上国药连锁总店有限公司童葆春药店","苏州道前街134-136号","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB993F04F2E053C0A884B57C68","5024","华润苏州礼安医药连锁总店有限公司第二十四医药商店","苏州市三香路1025号","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB994304F2E053C0A884B57C68","5012","华润苏州礼安医药连锁总店有限公司第十二医药商店","苏州市葑门路87-3号","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB994404F2E053C0A884B57C68","4137","苏州三光科技股份有限公司卫生站","苏州市高新区蒿山路145号","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB994504F2E053C0A884B57C68","4181","江苏省苏州监狱医院","苏州市相城区黄埭镇太东路2888号","诊所","无等级","一级及以下","相城区","1","1"
"D45D09EB994804F2E053C0A884B57C68","4005","苏州口腔医院新区口腔门诊部","苏州高新区狮山新苑管理中心1幢","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB994904F2E053C0A884B57C68","4006","苏州盲仁推拿诊所","苏州市十梓街470号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB994C04F2E053C0A884B57C68","4233","苏州大学医院","苏州十梓街1号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB994E04F2E053C0A884B57C68","4130","苏州安利诊所","姑苏区西园路闻钟苑新村16幢104、105、106室","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB995204F2E053C0A884B57C68","4603","苏州市姑苏区白洋湾街道社区卫生服务中心","苏州市姑苏区金阊新城虎殿路1500号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB995304F2E053C0A884B57C68","9999","医保中心业务","","诊所","一级乙等","一级及以下","其他","1","1"
"D45D09EB995404F2E053C0A884B57C68","4170","苏州电信分公司卫生所","三香路1036号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB995504F2E053C0A884B57C68","4171","国网江苏省电力有限公司苏州供电分公司卫生所","苏州市劳动路电厂支二路","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB995604F2E053C0A884B57C68","4510","苏州市吴中高新区苏苑社区卫生服务站","苏州市吴中区苏苑街道公园巷6弄16号","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB995704F2E053C0A884B57C68","4201","苏州佳世达电通有限公司S3厂卫生站","苏州新区珠江路169号","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB995A04F2E053C0A884B57C68","4135","苏州福田金属有限公司卫生站","苏州高新区珠江路155号","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB995D04F2E053C0A884B57C68","5302","江苏海王星辰健康药房连锁有限公司苏州湄长店","苏州市湄长新村74幢108室","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB995E04F2E053C0A884B57C68","5003","华润苏州礼安医药连锁总店有限公司第三医药商店","苏州何山路新狮新苑62幢12号","药店","无等级","一级及以下","高新区","1","1"
"D45D09EB995F04F2E053C0A884B57C68","5121","苏州雷允上国药连锁总店有限公司沧浪药店","苏州市十梓街东小桥下塘7号2幢底楼","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB996004F2E053C0A884B57C68","5250","苏州市新生堂药店有限公司三分店","苏州高新区浒墅关镇惠丰街35号1号","药店","无等级","一级及以下","高新区","1","1"
"D45D09EB996204F2E053C0A884B57C68","4563","苏州高新区通安镇金墅社区卫生服务站","高新区通安镇金墅街","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB9A8B04F2E053C0A884B57C68","4327","苏州市吴中区长桥屈雪芬诊所","苏州市吴中区水香街159号","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A8E04F2E053C0A884B57C68","4756","苏州市吴中区木渎镇天池社区卫生服务站","苏州市吴中区木渎镇天池村","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A8F04F2E053C0A884B57C68","4758","苏州市吴中区越溪街道张桥社区卫生服务站","苏州市吴中区越溪街道张桥村","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A9004F2E053C0A884B57C68","4759","苏州市吴中区越溪街道石湖邻里中心社区卫生服务站","苏州市吴中区南石湖越来溪4幢石湖邻里中心205室","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A9204F2E053C0A884B57C68","4761","苏州市吴中区越溪街道木林社区卫生服务站","苏州市吴中区越溪街道木林村","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A9304F2E053C0A884B57C68","4762","苏州市吴中区穹窿社区卫生服务站","苏州市吴中区穹窿景区兴奋村","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A9404F2E053C0A884B57C68","4763","吴中区木渎文洁诊所","苏州市吴中区木渎镇青山溪语安置小区37幢104.105.106号","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A9604F2E053C0A884B57C68","4766","苏州市吴中区东山镇陆巷社区卫生服务站","苏州市吴中区东山镇陆巷村沙滩山","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A9704F2E053C0A884B57C68","4767","苏州市吴中区越溪街道溪东社区卫生服务站","苏州市吴中区越溪街道吴山街旁","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A9804F2E053C0A884B57C68","4768","苏州市吴中区木渎镇姑苏社区卫生服务站","苏州市吴中区木渎镇金枫南路（姑苏村）","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A9A04F2E053C0A884B57C68","4772","苏州市吴中区郭巷街道姜庄社区卫生服务站","苏州市吴中经济开发区郭巷街道姜庄社区","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A3004F2E053C0A884B57C68","4550","苏州南门门诊部","苏州市东大街289号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB9A3204F2E053C0A884B57C68","5207","苏州汇仁医药商店有限公司","苏州市景德路349号","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB9A3304F2E053C0A884B57C68","5101","苏州雷允上国药连锁总店有限公司王鸿翥药店","苏州市观前街64号","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB9A3404F2E053C0A884B57C68","4147","苏州长风门诊部","苏州市东北街59号号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB9A3604F2E053C0A884B57C68","4515","苏州工业园区娄葑街道苏安社区卫生服务站","苏州工业园区苏安新村15幢南","诊所","无等级","一级及以下","工业园区","1","1"
"D45D09EB9A3704F2E053C0A884B57C68","4605","苏州市姑苏区金阊街道彩香二村社区卫生服务站","苏州市彩香二村公园内","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB9A3904F2E053C0A884B57C68","5419","苏州市西山供销有限公司金庭春和堂药店","苏州市吴中区金庭镇金庭路148号","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A3B04F2E053C0A884B57C68","5421","苏州市木渎君安药店有限公司","苏州市吴中区木渎镇中山西路七号桥西北侧(木渎公园旁)","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A3F04F2E053C0A884B57C68","5425","苏州市锦中药店有限公司","苏州市吴中区木渎镇新旅城花园6区8幢107室","药店","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A4104F2E053C0A884B57C68","4336","苏州市吴中区横泾街道泾苑诊所","苏州市吴中区横泾街道乐园南路17号","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A4604F2E053C0A884B57C68","4350","苏州市吴中区木渎康民诊所","苏州市吴中区木渎镇花苑三村15-2、3号","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A4804F2E053C0A884B57C68","4352","苏州市吴中区临湖徐蓉娟诊所","苏州市吴中区临湖镇浦庄联东路63号","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB9A4A04F2E053C0A884B57C68","4357","苏州市吴中区胥口康宁诊所","苏州市吴中区胥口镇吉祥路吉祥一村商铺2-2号","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB99C104F2E053C0A884B57C68","4119","苏州高新区狮山街道社区卫生服务中心、苏州高新区狮山街道卫生所","苏州高新区玉山路211-215号","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB99C304F2E053C0A884B57C68","4507","苏州市姑苏区平江街道观前社区卫生服务站","苏州市姑苏区平江街道碧凤坊一弄3-9号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99C404F2E053C0A884B57C68","4513","苏州市姑苏区沧浪街道竹辉社区卫生服务站","养蚕里99幢南二楼","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99C504F2E053C0A884B57C68","5111","苏州雷允上国药连锁总店有限公司新区药店","苏州高新区淮海路5号楼B座","药店","无等级","一级及以下","高新区","1","1"
"D45D09EB99C604F2E053C0A884B57C68","5009","华润苏州礼安医药连锁总店有限公司第九医药商店","苏州市十梓街228号","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99CB04F2E053C0A884B57C68","5034","华润苏州礼安医药连锁总店有限公司第三十四医药商店","苏州新康花园33幛10号","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99CC04F2E053C0A884B57C68","5052","华润苏州礼安医药连锁总店有限公司第五十一医药商店","苏州市干将路193号","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99D004F2E053C0A884B57C68","5261","苏州高新区共和药房有限公司","苏州市高新区白马涧花园白马街64号","药店","无等级","一级及以下","高新区","1","1"
"D45D09EB99D104F2E053C0A884B57C68","4003","苏州市立医院机关诊所","苏州市五卅路101—2号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99D304F2E053C0A884B57C68","4229","苏州经贸职业技术学院卫生站","苏州国际教育园学府路287号","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB99D404F2E053C0A884B57C68","4230","苏州工业职业技术学院医务室","苏州市吴中大道国际教育园致能大道1号","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB99D504F2E053C0A884B57C68","4525","苏州工业园区贵都社区卫生服务站","苏州工业园区苏州大道西268号贵都邻里中心C201-C202、C204-C205、C209、C203-1、2B6、C207-208","诊所","无等级","一级及以下","工业园区","1","1"
"D45D09EB99D704F2E053C0A884B57C68","4552","苏州高新区阳山街道社区卫生服务中心","苏州高新区浒墅关开发区观山商业广场3号及8号楼","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB99D804F2E053C0A884B57C68","4577","苏州工业园区湖西社区卫生服务站","苏州工业园区星港街278号沁苑大夏邻里中心二楼","诊所","无等级","一级及以下","工业园区","1","1"
"D45D09EB99D904F2E053C0A884B57C68","4505","苏州工业园区娄葑街道东港社区卫生服务站","苏州工业园区一斗山路3号","诊所","无等级","一级及以下","工业园区","1","1"
"D45D09EB99DA04F2E053C0A884B57C68","4568","苏州高新区狮山街道新狮新苑社区卫生服务站","苏州高新区新狮新苑商业街社区居委会旁","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB99DC04F2E053C0A884B57C68","4502","苏州市姑苏区双塔街道杨枝社区卫生服务站","姑苏区杨枝新村39幢南","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99DD04F2E053C0A884B57C68","4167","苏州高新区管委会卫生所","苏州高新区科普路58号","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB99DF04F2E053C0A884B57C68","4235","苏州卫生职业技术学院书院巷校区医务室","苏州市三元坊书院巷20号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99E004F2E053C0A884B57C68","4236","苏州卫生职业技术学院石湖校区卫生站","苏州国际教育园北区科华路28号","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB99E204F2E053C0A884B57C68","4540","苏州市姑苏区沧浪街道胥江社区卫生服务站","姑苏区胥江新村37幢旁","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99E404F2E053C0A884B57C68","4215","苏州佳世达电通有限公司S2厂卫生站","苏州高新区珠江路169号","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB99E604F2E053C0A884B57C68","4599","苏州市姑苏区金阊街道彩香一村社区卫生服务中心","彩香一村二区2号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99E804F2E053C0A884B57C68","5274","江苏全诚大药房连锁有限公司苏州普济时代分公司","苏州市姑苏区彩香新村二区29幢12-14室","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99EC04F2E053C0A884B57C68","5273","苏州市金福药房有限公司","苏州高新区富康新村A幛101室","药店","无等级","一级及以下","高新区","1","1"
"D45D09EB99ED04F2E053C0A884B57C68","4038","苏州爱心诊所","苏州市何山路186号","诊所","无等级","一级及以下","高新区","1","1"
"D45D09EB99EF04F2E053C0A884B57C68","4598","苏州市姑苏区吴门桥街道双桥社区卫生服务站","劳动路95号2幢南侧","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99F004F2E053C0A884B57C68","4548","苏州市姑苏区虎丘街道留园社区卫生服务中心","虎丘路210号","诊所","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99F104F2E053C0A884B57C68","4549","苏州工业园区师惠坊社区卫生服务站","苏州工业园区师惠大厦一楼","诊所","无等级","一级及以下","工业园区","1","1"
"D45D09EB99F304F2E053C0A884B57C68","5007","华润苏州礼安医药连锁总店有限公司第七医药商店","苏州市人民路1033号","药店","无等级","一级及以下","姑苏区","1","1"
"D45D09EB99F404F2E053C0A884B57C68","4237","苏州科技大学天平学院医务室","苏州市高新区长江路55号","诊所","无等级","一级及以下","吴中区","1","1"
"D45D09EB99F504F2E053C0A884B57C68","5218","苏州市保和堂国药有限公司","苏州高新区马涧路799-2号、799-3号","药店","无等级","一级及以下","高新区","1","1"
"D45D09EB99F604F2E053C0A884B57C68","5104","苏州雷允上国药连锁总店有限公司大利堂药店","苏州市胥江路568-572号（570-572号）","药店","无等级","一级及以下","姑苏区","1","1"
